suspect_image,criminal_image,similarity,correlation,hist_similarity,ssim,is_match
image1.JPG,image1.png,0.0031,-0.0613,0.0047,0.0875,False
image1.JPG,image2.JPG,-0.041,-0.156,0.0103,0.0609,False
