suspect_image,criminal_image,similarity,correlation,hist_similarity,ssim,facial_features,image_quality,quality_threshold,matching_points,is_match
image1.JPG,7fc05c8a15a6ca2f-580x0-1.webp,0.2724,0.7303,-0.0336,0.2003,0.0,0.38,0.4062,[],False
image1.JPG,image1.png,0.0935,0.1094,0.1596,0.0961,0.0,0.62,0.3438,[],False
image1.JPG,image2.JPG,0.0395,0.1003,-0.0659,0.0752,0.0,0.12,0.4688,[],False
image1.JPG,xavier-dupont-de-ligonnes-cet-etrange-tic-qui-le-trahit.jpeg,-0.1497,-0.3312,0.0242,0.0553,0.0,0.38,0.4062,[],False
